"","X","LONELY","KIDS","ADULTS","VOLUNTEE","NUMHOUSEHOLD","AGE","LIVEALONE"
"1",1,0,0,2,2,2,71,"No"
"2",2,0,3,2,1,5,35,"No"
"3",3,0,0,2,1,2,70,"No"
"4",4,2,3,2,2,5,51,"No"
"5",5,0,0,2,1,2,71,"No"
"6",6,2,0,2,1,2,82,"No"
"7",7,0,0,5,2,5,53,"No"
"8",8,0,0,2,1,2,81,"No"
"9",9,0,0,2,2,2,78,"No"
"10",10,0,0,2,2,2,31,"No"
"11",11,0,1,2,2,3,45,"No"
"12",12,0,0,1,2,1,71,"Yes"
"13",13,0,0,1,7,1,86,"Yes"
"14",14,0,0,4,2,4,68,"No"
"15",15,0,2,2,1,4,47,"No"
"16",16,0,0,2,2,2,85,"No"
"17",17,0,0,2,1,2,68,"No"
"18",18,0,1,4,2,5,51,"No"
"19",19,1,0,1,2,1,70,"Yes"
"20",20,0,2,2,7,4,45,"No"
"21",21,0,2,3,1,5,56,"No"
"22",22,0,0,2,2,2,69,"No"
"23",23,0,3,2,2,5,39,"No"
"24",24,0,0,2,1,2,69,"No"
"25",25,0,0,1,2,1,64,"Yes"
"26",26,1,0,2,1,2,74,"No"
"27",27,0,0,3,2,3,74,"No"
"28",28,0,2,2,7,4,29,"No"
"29",29,0,3,2,1,5,46,"No"
"30",30,0,1,1,1,2,52,"No"
"31",31,0,0,2,1,2,55,"No"
"32",32,0,0,2,1,2,85,"No"
"33",33,0,1,2,2,3,51,"No"
"34",34,0,0,2,1,2,75,"No"
"35",35,0,1,2,2,3,38,"No"
"36",36,0,0,2,1,2,84,"No"
"37",37,7,4,2,1,6,48,"No"
"38",38,0,0,2,1,2,72,"No"
"39",39,0,2,2,1,4,44,"No"
"40",40,0,0,2,2,2,60,"No"
"41",41,0,0,2,2,2,31,"No"
"42",42,0,2,2,1,4,44,"No"
"43",43,0,1,2,1,3,44,"No"
"44",44,0,1,3,1,4,55,"No"
"45",45,0,0,1,2,1,79,"Yes"
"46",46,0,0,4,2,4,73,"No"
"47",47,0,1,2,2,3,40,"No"
"48",48,0,1,3,1,4,50,"No"
"49",49,0,0,2,1,2,71,"No"
"50",50,0,0,2,2,2,62,"No"
"51",51,0,0,2,1,2,45,"No"
"52",52,0,0,5,2,5,58,"No"
"53",53,0,0,3,1,3,68,"No"
"54",54,0,0,3,2,3,47,"No"
"55",55,0,0,1,1,1,93,"Yes"
"56",56,0,0,2,2,2,72,"No"
"57",57,0,0,2,1,2,78,"No"
"58",58,0,2,2,2,4,34,"No"
"59",59,0,2,2,1,4,38,"No"
"60",60,0,0,1,2,1,69,"Yes"
"61",61,0,0,2,1,2,69,"No"
"62",62,0,2,2,1,4,46,"No"
"63",63,0,0,2,2,2,75,"No"
"64",64,0,0,2,2,2,76,"No"
"65",66,7,0,2,1,2,87,"No"
"66",67,0,0,2,1,2,73,"No"
"67",68,1,3,2,1,5,32,"No"
"68",69,0,0,1,1,1,78,"Yes"
"69",70,2,0,1,2,1,73,"Yes"
"70",71,0,1,2,1,3,49,"No"
"71",72,2,0,1,2,1,80,"Yes"
"72",73,0,0,2,2,2,62,"No"
"73",74,0,0,1,1,1,76,"Yes"
"74",75,0,0,2,2,2,32,"No"
"75",76,0,0,1,2,1,74,"Yes"
"76",77,0,0,3,1,3,68,"No"
"77",78,0,0,1,1,1,69,"Yes"
"78",79,0,0,2,2,2,71,"No"
"79",80,0,0,1,2,1,45,"Yes"
"80",81,0,1,2,1,3,41,"No"
"81",82,0,0,2,1,2,78,"No"
"82",83,0,2,2,1,4,54,"No"
"83",84,0,1,3,1,4,57,"No"
"84",85,0,0,4,2,4,48,"No"
"85",86,0,0,2,2,2,66,"No"
"86",87,0,1,2,2,3,37,"No"
"87",88,0,0,5,1,5,54,"No"
"88",89,0,0,2,2,2,70,"No"
"89",90,0,0,1,1,1,82,"Yes"
"90",91,0,0,2,2,2,85,"No"
"91",92,0,0,3,1,3,68,"No"
"92",93,0,1,2,1,3,52,"No"
"93",94,1,2,2,1,4,42,"No"
"94",95,7,0,1,2,1,88,"Yes"
"95",96,0,0,1,2,1,80,"Yes"
"96",97,0,0,1,1,1,79,"Yes"
"97",98,0,0,3,1,3,55,"No"
"98",99,0,0,2,1,2,56,"No"
"99",100,0,0,3,1,3,76,"No"
"100",101,1,0,1,1,1,77,"Yes"
"101",102,7,0,1,2,1,35,"Yes"
"102",103,0,0,1,2,1,74,"Yes"
"103",104,0,0,1,1,1,54,"Yes"
"104",105,0,0,2,2,2,74,"No"
"105",106,0,1,2,1,3,68,"No"
"106",107,0,0,2,1,2,74,"No"
"107",108,2,2,2,2,4,44,"No"
"108",109,2,0,1,1,1,78,"Yes"
"109",110,0,0,2,2,2,72,"No"
"110",111,7,1,2,2,3,39,"No"
"111",112,0,3,2,1,5,37,"No"
"112",113,1,0,1,2,1,38,"Yes"
"113",114,0,0,2,1,2,80,"No"
"114",115,0,0,1,1,1,73,"Yes"
"115",116,0,0,3,2,3,65,"No"
"116",117,0,0,1,2,1,90,"Yes"
"117",118,3,3,2,2,5,47,"No"
"118",119,0,3,2,2,5,49,"No"
"119",120,0,0,2,1,2,39,"No"
"120",121,3,2,2,2,4,42,"No"
"121",122,0,1,2,2,3,29,"No"
"122",123,0,0,1,1,1,77,"Yes"
"123",124,0,0,1,1,1,87,"Yes"
"124",125,0,0,2,1,2,52,"No"
"125",126,0,0,2,2,2,81,"No"
"126",127,0,0,2,1,2,78,"No"
"127",128,0,1,3,1,4,60,"No"
"128",129,1,0,4,2,4,63,"No"
"129",130,7,0,2,1,2,73,"No"
"130",131,0,0,3,2,3,61,"No"
"131",133,0,0,2,2,2,58,"No"
"132",134,0,0,2,2,2,65,"No"
